"brand","subscriber","reviewer","RATING","category"
"alchemist fragrance","11.5","2.2","4.9","body_care"
"balans","24.9","12","5","body_care"
"bonavie","56.6","16.6","4.9","body_care"
"brighty","222","109.4","4.9","body_care"
"ciara","24","8","4.9","body_care"
"creme and tonic","4.7","3.4","5","body_care"
"deorex","3.9","13.3","4.9","body_care"
"dew it","12","1.6","4.9","body_care"
"dr soap","33","18.2","5","body_care"
"esscentials indonesia","1.9","0.884","5","body_care"
"gloei","5.6","1.1","4.9","body_care"
"herborist","518.9","912.4","4.9","body_care"
"looloo","28.3","18.9","4.9","body_care"
"milk recipe","9.9","7.6","4.8","body_care"
"mirael","166.3","137.6","4.9","body_care"
"mustika ratu","269.8","190.2","4.9","body_care"
"rei skin","27.8","6.8","5","body_care"
"roceo","89.9","26.7","4.9","body_care"
"shapelyne","3.1","1.8","4.9","body_care"
"skin soul","33.4","10.5","4.9","body_care"
"sterobac","0.402","46","4.8","body_care"
"sugarpot","55.3","65.9","4.9","body_care"
"sundae shower","25.7","7.5","4.9","body_care"
"the bath box","155","144.5","4.9","body_care"
"varesse","39.9","11","4.9","body_care"
"youvit","98.1","52.9","4.9","body_care"
